"gene","PC_349_C_Sid_yr2","PC_350_La_Sid_yr2","PC_362_C_Sid_yr2","PC_363_La_Sid_yr2","PC_365_C_Sid_yr2","PC_366_La_Sid_yr2","PC_368_C_Sid_yr2","PC_371_C_Sid_yr2","PC_372_La_Sid_yr2","PC_374_C_Sid_yr2","PC_375_La_Sid_yr2","PO_331_C_Sid_yr2","PO_332_La_Sid_yr2","PO_334_C_Sid_yr2","PO_335_La_Sid_yr2","PO_337_C_Sid_yr2","PO_338_La_Sid_yr2","PO_340_C_Sid_yr2","PO_341_La_Sid_yr2","PO_343_C_Sid_yr2","PO_344_La_Sid_yr2","PO_347_La_Sid_yr2","R_003_C_Sid_yr2","R_004_La_Sid_yr2","R_009_C_Sid_yr2","R_010_La_Sid_yr2","R_012_C_Sid_yr2","R_013_La_Sid_yr2","R_015_C_Sid_yr2","R_018_C_Sid_yr2","R_019_La_Sid_yr2","R_021_C_Sid_yr2","R_022_La_Sid_yr2","R_025_La_Sid_yr2","R_027_C_Sid_yr2","R_030_C_Sid_yr2"
"Breviolum_Sid-radians_Avila-Medina_DN771780_c0_g1_i1_Symbiont",3.83360328785103,6.58604230228502,5.6285107093815,15.9788357935667,5.01571128291551,15.8188432425573,3.55994052472436,0,0,9.89892280247335,13.3457049800796,2.18004722033166,12.648145646341,5.08263352271275,5.03296759611965,5.23866744659352,24.5635619858217,6.08950389741799,7.10072022709289,1.48202639245934,6.68216307809423,21.089868655471,0,0.750514178991706,0,0,1.07478859839659,0,0.719971583674897,0,0,1.01865235405678,0.93537865292915,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN771786_c0_g1_i1_Symbiont",15.3344131514041,8.78138973638003,9.38085118230251,6.65784824731946,6.44877164946281,12.4633310395906,6.52655762866134,0,0,0.824910233539445,10.2659269077535,4.36009444066332,10.9983875185574,12.7065838067819,18.8736284854487,14.4063354781322,8.18785399527388,15.8327101332868,12.7812964087672,14.0792507283637,4.17635192380889,12.8516387119276,0,0,0,0,3.22436579518977,4.55997093302961,0,0,0,0,0,0,0.895511620668436,0
"Breviolum_Sid-radians_Avila-Medina_DN771826_c0_g1_i1_Symbiont",10.2229421009361,21.9534743409501,10.3189363005328,10.6525571957111,10.7479527491047,15.3394843564192,8.89985131181091,0,0,3.29964093415778,14.8855940162426,8.72018888132665,19.7970975334033,9.5299378550864,12.5824189902991,13.751502047308,24.5635619858217,10.9611070153524,16.3316565223136,18.5253299057418,13.3643261561885,20.1012810622458,0,0,0,0,1.07478859839659,0,0.719971583674897,0,0,0,0,0,0.895511620668436,0
"Breviolum_Sid-radians_Avila-Medina_DN771930_c0_g1_i1_Symbiont",11.5008098635531,0,5.6285107093815,5.32627859785557,11.4644829323783,8.62845995048579,2.96661710393697,0,0,3.29964093415778,11.2925195985289,6.54014166099499,4.39935500742296,6.98862109373002,12.5824189902991,2.61933372329676,4.09392699763694,6.08950389741799,7.10072022709289,4.44607917737802,6.68216307809423,4.61340876838428,0,0,0,0,1.07478859839659,0,0,0,0,0,0,0,0.895511620668436,0
"Breviolum_Sid-radians_Avila-Medina_DN771993_c0_g1_i1_Symbiont",12.7786776261701,19.7581269068551,19.6997874828353,7.98941789678335,14.3306036654729,34.5138398019432,14.8330855196849,0.995849766811369,2.69458262140606,15.6732944372495,28.7445953417099,13.08028332199,15.9476619019082,17.7892173294946,6.29120949514956,20.9546697863741,16.3757079905478,18.268511692254,19.1719446131508,25.9354618680385,28.3991930819005,30.6462153899813,1.26235026259429,2.25154253697512,2.35761158887312,0,0,0,2.87988633469959,0,1.62996273684903,1.01865235405678,4.67689326464575,1.53342706369686,0,0
"Breviolum_Sid-radians_Avila-Medina_DN771994_c0_g1_i1_Symbiont",10.2229421009361,13.17208460457,5.6285107093815,2.66313929892778,2.14959054982093,5.2729477475191,4.74658736629915,0,0,3.29964093415778,9.23933421697818,2.18004722033166,6.59903251113444,3.81197514203456,6.29120949514956,3.92900058494514,0,3.65370233845079,5.68057618167431,4.44607917737802,12.5290557714267,3.95435037290081,0,0,0,0,0,0,0.719971583674897,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN772007_c0_g1_i1_Symbiont",5.11147105046804,4.39069486819002,6.56659582761175,3.99470894839167,6.44877164946281,5.7523066336572,0.593323420787394,0,0,0,3.07977807232606,10.9002361016583,2.19967750371148,5.08263352271275,0,7.85800116989028,0,4.87160311793439,2.13021606812787,0.74101319622967,8.35270384761779,9.22681753676856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN772029_c0_g1_i1_Symbiont",1.27786776261701,6.58604230228502,4.69042559115125,5.32627859785557,5.01571128291551,10.0665366089001,5.93323420787394,4.97924883405685,0,4.12455116769723,8.21274152620283,0,5.4991937592787,6.98862109373002,2.51648379805982,9.82250146236285,0,7.30740467690159,8.52086427251146,12.5972243359044,13.3643261561885,8.5677591412851,0,0,0,0,2.14957719679318,0,0.719971583674897,0,0,0,0,9.20056238218114,0,0
"Breviolum_Sid-radians_Avila-Medina_DN772101_c0_g1_i1_Symbiont",0,13.17208460457,3.752340472921,0,5.01571128291551,7.19038329207149,8.30652789102352,0,0,3.29964093415778,3.59307441771374,0,8.24879063891806,3.17664595169547,2.51648379805982,2.61933372329676,8.18785399527388,4.87160311793439,4.26043213625573,4.44607917737802,7.51743346285601,7.24964235031816,0,0,0,0,0,0,0,0,0,0,0,0,1.79102324133687,0
"Breviolum_Sid-radians_Avila-Medina_DN772117_c0_g1_i1_Symbiont",6.38933881308505,10.976737170475,8.44276606407225,6.65784824731946,2.14959054982093,3.8348710891048,4.74658736629915,0,0,6.59928186831556,6.6728524900398,6.54014166099499,5.4991937592787,5.08263352271275,3.77472569708974,3.27416715412095,12.2817809929108,2.4358015589672,7.81079224980217,6.66911876606703,2.50581115428534,8.5677591412851,0,0,0,0,0,0,0.719971583674897,14.288954839649,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN772243_c0_g1_i1_Symbiont",1.27786776261701,13.17208460457,1.8761702364605,10.6525571957111,1.43306036654729,10.0665366089001,4.15326394551176,0,0,9.89892280247335,8.72603787159051,0,3.84943563149509,5.08263352271275,6.29120949514956,0.65483343082419,8.18785399527388,3.65370233845079,6.3906482043836,7.4101319622967,7.51743346285601,0.329529197741734,0,0,0,0,1.07478859839659,0,0,0,0,0,0.93537865292915,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN772671_c0_g1_i1_Symbiont",1.27786776261701,10.976737170475,2.81425535469075,1.33156964946389,4.29918109964187,5.2729477475191,1.77997026236218,0,0,5.77437163477612,3.07977807232606,4.36009444066332,2.74959687963935,1.90598757101728,5.03296759611965,1.96450029247257,0,4.87160311793439,4.97050415896502,2.22303958868901,5.84689269333245,4.61340876838428,0,0.750514178991706,0.785870529624372,0.771265607450001,0,0,0,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN772686_c0_g1_i1_Symbiont",3.83360328785103,2.19534743409501,6.56659582761175,1.33156964946389,5.01571128291551,5.7523066336572,0.593323420787394,0,0,4.12455116769723,3.59307441771374,2.18004722033166,5.4991937592787,3.17664595169547,2.51648379805982,2.61933372329676,0,2.4358015589672,4.97050415896502,1.48202639245934,4.17635192380889,10.2154051299938,0,0,0,0,0,0,0,7.1444774198245,0,0,0,0,0.895511620668436,0
"Breviolum_Sid-radians_Avila-Medina_DN772743_c0_g1_i1_Symbiont",5.11147105046804,15.3674320386651,12.1951065369933,6.65784824731946,7.16530183273645,18.6949965593859,8.89985131181091,0,0.673645655351515,6.59928186831556,8.72603787159051,6.54014166099499,8.24879063891806,9.5299378550864,7.54945139417947,11.7870017548354,8.18785399527388,3.65370233845079,8.52086427251146,8.89215835475605,15.034866925712,17.4650474803119,0,0,0,0,0,1.51999031100987,0.719971583674897,0,0.814981368424514,1.01865235405678,0,13.8008435732717,0,0
"Breviolum_Sid-radians_Avila-Medina_DN772814_c0_g1_i1_Symbiont",35.7802973532763,13.17208460457,30.9568089015983,15.9788357935667,32.9603884305877,50.8120419306386,29.0728476185823,3.98339906724548,0.673645655351515,55.2689856471428,42.6035966671772,19.620424982985,36.8445981871673,30.4958011362765,22.6483541825384,41.9093395727481,49.1271239716433,13.3969085743196,32.6633130446273,28.8995146529571,34.2460857752329,46.7931460793263,0,0.750514178991706,0,0,0,0,0,0,0,0,0,1.53342706369686,0.895511620668436,0
"Breviolum_Sid-radians_Avila-Medina_DN772838_c0_g1_i1_Symbiont",12.7786776261701,13.17208460457,23.4521279557563,11.984126845175,12.8975432989256,26.3647387375955,13.0531152573227,16.9294460357933,10.1046848302727,23.9223967726439,21.0451501608947,15.2603305423216,17.5974200296919,19.0598757101728,13.840660889329,17.6805026322531,16.3757079905478,26.7938171486392,18.4618725904415,8.15114515852638,11.6937853866649,10.8744635254772,8.83645183816003,6.75462761092536,9.43044635549247,11.56898411175,20.4209833695352,19.7598740431283,10.7995737551235,7.1444774198245,10.5947577895187,21.3916994351923,18.707573058583,9.20056238218114,8.95511620668436,9.62803433971545
"Breviolum_Sid-radians_Avila-Medina_DN772942_c0_g1_i1_Symbiont",5.11147105046804,2.19534743409501,2.81425535469075,1.33156964946389,1.43306036654729,3.3555122029667,3.55994052472436,0,0,1.64982046707889,3.59307441771374,0,8.24879063891806,3.81197514203456,5.03296759611965,3.92900058494514,0,3.65370233845079,4.26043213625573,8.15114515852638,5.84689269333245,0.988587593225203,0,0,0,0,2.14957719679318,1.51999031100987,0,0,0,0,0,0,0,1.06978159330172
"Breviolum_Sid-radians_Avila-Medina_DN772956_c0_g1_i1_Symbiont",3.83360328785103,10.976737170475,5.6285107093815,1.33156964946389,5.73224146618916,2.8761533168286,2.37329368314958,0.995849766811369,0,5.77437163477612,3.59307441771374,0,4.94927438335083,3.17664595169547,6.29120949514956,5.89350087741771,4.09392699763694,4.87160311793439,3.55036011354644,5.18709237360769,1.67054076952356,7.57917154805989,1.26235026259429,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN773251_c0_g1_i1_Symbiont",2.55573552523402,8.78138973638003,3.752340472921,3.99470894839167,3.58265091636822,6.23166551979529,3.55994052472436,0,0,1.64982046707889,7.18614883542747,4.36009444066332,6.59903251113444,12.7065838067819,5.03296759611965,1.96450029247257,4.09392699763694,4.87160311793439,4.97050415896502,3.70506598114835,14.1995965409502,7.24964235031816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN773329_c0_g1_i1_Symbiont",0,10.976737170475,4.69042559115125,0,2.86612073309458,1.4380766584143,2.96661710393697,44.8132395065116,46.4815502192545,1.64982046707889,2.56648172693838,19.620424982985,1.09983875185574,0,0,1.30966686164838,16.3757079905478,7.30740467690159,2.84028809083715,0.74101319622967,1.67054076952356,1.31811679096694,51.7563607663659,31.5215955176517,31.4348211849749,43.9621396246501,31.1688693535011,21.2798643541382,23.0390906775967,14.288954839649,45.6389566317728,44.8207035784981,28.0613595878745,23.0014059554529,25.9698369993846,7.48847115311201
"Breviolum_Sid-radians_Avila-Medina_DN773350_c0_g1_i1_Symbiont",1.27786776261701,2.19534743409501,2.81425535469075,0,5.01571128291551,5.2729477475191,2.96661710393697,0,0,3.29964093415778,2.56648172693838,0,2.74959687963935,3.17664595169547,1.25824189902991,1.96450029247257,4.09392699763694,1.2179007794836,3.55036011354644,3.70506598114835,1.67054076952356,4.61340876838428,0,0,0,0,3.22436579518977,0,0.719971583674897,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN773897_c0_g1_i1_Symbiont",5.11147105046804,17.5627794727601,6.56659582761175,2.66313929892778,14.3306036654729,11.5046132673144,8.30652789102352,0,0.673645655351515,14.84838420371,6.6728524900398,10.9002361016583,14.2979037741246,6.35329190339093,12.5824189902991,7.85800116989028,24.5635619858217,8.52530545638519,9.23093629522075,7.4101319622967,14.1995965409502,18.7831642712789,0,0,0,0,0,0,0,0,0,0,0,0,0.895511620668436,0
"Breviolum_Sid-radians_Avila-Medina_DN774432_c0_g1_i1_Symbiont",5.11147105046804,8.78138973638003,9.38085118230251,7.98941789678335,5.73224146618916,11.5046132673144,5.33991078708655,0,0,2.47473070061834,11.8058159439166,4.36009444066332,7.69887126299019,10.8005962357646,5.03296759611965,6.5483343082419,4.09392699763694,4.87160311793439,9.23093629522075,6.66911876606703,15.034866925712,2.96576277967561,1.26235026259429,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN774659_c0_g1_i1_Symbiont",8.94507433831907,6.58604230228502,5.6285107093815,1.33156964946389,4.29918109964187,3.8348710891048,1.77997026236218,0,0,0.824910233539445,7.18614883542747,6.54014166099499,7.69887126299019,6.35329190339093,2.51648379805982,3.92900058494514,8.18785399527388,0,2.84028809083715,2.22303958868901,0,7.57917154805989,0,0,0,0,0,0,0,0,0,0,0,4.60028119109057,0,0
"Breviolum_Sid-radians_Avila-Medina_DN774731_c0_g1_i1_Symbiont",3.83360328785103,2.19534743409501,1.8761702364605,3.99470894839167,5.01571128291551,7.19038329207149,5.33991078708655,0,0,6.59928186831556,7.18614883542747,2.18004722033166,7.69887126299019,3.81197514203456,3.77472569708974,4.58383401576933,4.09392699763694,7.30740467690159,4.97050415896502,3.70506598114835,12.5290557714267,1.31811679096694,0,0,0,0,0,0,2.87988633469959,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN774754_c0_g1_i1_Symbiont",3.83360328785103,4.39069486819002,5.6285107093815,6.65784824731946,4.29918109964187,8.62845995048579,5.33991078708655,0.995849766811369,0,8.24910233539445,9.75263056236586,2.18004722033166,8.79871001484593,5.08263352271275,5.03296759611965,7.20316773906609,4.09392699763694,8.52530545638519,0,4.44607917737802,5.01162230857067,10.5449343277355,0,0,0,0,0,0,0,0,0,0,0,1.53342706369686,0,0
"Breviolum_Sid-radians_Avila-Medina_DN775130_c0_g1_i1_Symbiont",3.83360328785103,4.39069486819002,1.8761702364605,1.33156964946389,2.14959054982093,2.3967944306905,4.74658736629915,0,0,0.824910233539445,2.56648172693838,6.54014166099499,3.29951625556722,3.81197514203456,3.77472569708974,1.96450029247257,4.09392699763694,1.2179007794836,0.710072022709288,4.44607917737802,6.68216307809423,11.5335219209607,0,0,0,0,0,0,0.719971583674897,0,0,0,0,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN77518_c0_g2_i1_Symbiont",10.2229421009361,2.19534743409501,4.69042559115125,2.66313929892778,4.29918109964187,5.7523066336572,6.52655762866134,0,0,7.42419210185501,2.05318538155071,6.54014166099499,4.94927438335083,6.35329190339093,6.29120949514956,2.61933372329676,0,1.2179007794836,3.55036011354644,2.22303958868901,9.18797423237957,4.61340876838428,0,0,0,0,2.14957719679318,1.51999031100987,2.15991475102469,0,0,0,0,13.8008435732717,0,1.06978159330172
"Breviolum_Sid-radians_Avila-Medina_DN775199_c0_g1_i1_Symbiont",10.2229421009361,13.17208460457,3.752340472921,6.65784824731946,5.01571128291551,8.14910106434769,5.33991078708655,0,0,7.42419210185501,4.61966710848909,10.9002361016583,12.0982262704131,6.98862109373002,7.54945139417947,12.4418351856596,8.18785399527388,10.9611070153524,2.13021606812787,3.70506598114835,0,5.27246716386775,0,0,0,0,0,0,0,0,0,0,0,1.53342706369686,0,0
"Breviolum_Sid-radians_Avila-Medina_DN7754_c0_g1_i1_Symbiont",15.3344131514041,0,9.38085118230251,2.66313929892778,7.16530183273645,9.58717772276199,3.55994052472436,0,0,4.12455116769723,6.15955614465212,6.54014166099499,6.59903251113444,7.62395028406912,2.51648379805982,1.96450029247257,0,7.30740467690159,6.3906482043836,8.15114515852638,0.835270384761779,6.26105475709296,0,0,0,0,0,4.55997093302961,0,0,0,0,0.93537865292915,0,0,0
"Breviolum_Sid-radians_Avila-Medina_DN775579_c0_g1_i1_Symbiont",6.38933881308505,2.19534743409501,1.8761702364605,3.99470894839167,3.58265091636822,4.793588861381,5.33991078708655,0,0,6.59928186831556,2.56648172693838,4.36009444066332,6.59903251113444,6.35329190339093,2.51648379805982,1.96450029247257,4.09392699763694,0,2.13021606812787,0,2.50581115428534,4.94293796612602,0,0,0,0,1.07478859839659,0,0,0,0,0,0,6.13370825478743,0,0
