"","DEG","up.results_LC_RC_padj.1","down.results_LC_RC_padj.1"
"92","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN430971_c1_g10_i1_Symbiont"
"93","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN431224_c5_g13_i5_Symbiont"
"94","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN434501_c1_g1_i1_Symbiont"
"95","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN434501_c2_g1_i2_Symbiont"
"96","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN434501_c4_g3_i1_Symbiont"
"97","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN434778_c3_g11_i2_Symbiont"
"98","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN434791_c1_g1_i1_Symbiont"
"99","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN437104_c0_g2_i5_Symbiont"
"100","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN438476_c2_g10_i1_Symbiont"
"101","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN438833_c0_g5_i6_Symbiont"
"102","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN439144_c3_g4_i2_Symbiont"
"103","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN439741_c0_g1_i5_Symbiont"
"104","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN440590_c2_g1_i6_Symbiont"
"105","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN443016_c0_g7_i2_Symbiont"
"106","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN443665_c1_g2_i3_Symbiont"
"107","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN445418_c0_g16_i1_Symbiont"
"108","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN446927_c0_g1_i5_Symbiont"
"109","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN446971_c0_g4_i3_Symbiont"
"110","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN447514_c0_g2_i5_Symbiont"
"111","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN447514_c0_g3_i4_Symbiont"
"112","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN448927_c4_g6_i1_Symbiont"
"113","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN453601_c1_g1_i1_Symbiont"
"114","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN455898_c1_g1_i2_Symbiont"
"115","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN456316_c16_g1_i5_Symbiont"
"116","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN456689_c28_g8_i5_Symbiont"
"117","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN527855_c0_g1_i1_Symbiont"
"118","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN532101_c0_g1_i1_Symbiont"
"119","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN690402_c0_g1_i1_Symbiont"
"120","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN695252_c0_g1_i1_Symbiont"
"121","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN703561_c0_g1_i1_Symbiont"
"122","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN764573_c0_g1_i1_Symbiont"
"123","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN773329_c0_g1_i1_Symbiont"
"124","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN785354_c0_g1_i1_Symbiont"
"125","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN847238_c0_g1_i1_Symbiont"
"126","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN849253_c0_g1_i1_Symbiont"
"127","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN854144_c0_g1_i1_Symbiont"
"128","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN859052_c0_g1_i1_Symbiont"
"129","Down",NA,"Breviolum_Sid-radians_Avila-Medina_DN95591_c0_g1_i1_Symbiont"
"130","Up","Breviolum_Sid-radians_Avila-Medina_DN100135_c0_g1_i1_Symbiont",NA
"131","Up","Breviolum_Sid-radians_Avila-Medina_DN100512_c0_g2_i1_Symbiont",NA
"132","Up","Breviolum_Sid-radians_Avila-Medina_DN100580_c0_g1_i2_Symbiont",NA
"133","Up","Breviolum_Sid-radians_Avila-Medina_DN100656_c0_g1_i1_Symbiont",NA
"134","Up","Breviolum_Sid-radians_Avila-Medina_DN100786_c0_g1_i1_Symbiont",NA
"135","Up","Breviolum_Sid-radians_Avila-Medina_DN101349_c0_g1_i1_Symbiont",NA
"136","Up","Breviolum_Sid-radians_Avila-Medina_DN101519_c0_g1_i1_Symbiont",NA
"137","Up","Breviolum_Sid-radians_Avila-Medina_DN101820_c0_g1_i1_Symbiont",NA
"138","Up","Breviolum_Sid-radians_Avila-Medina_DN101927_c0_g1_i1_Symbiont",NA
"139","Up","Breviolum_Sid-radians_Avila-Medina_DN102076_c0_g1_i1_Symbiont",NA
"140","Up","Breviolum_Sid-radians_Avila-Medina_DN102261_c0_g1_i1_Symbiont",NA
"141","Up","Breviolum_Sid-radians_Avila-Medina_DN102373_c0_g1_i1_Symbiont",NA
"142","Up","Breviolum_Sid-radians_Avila-Medina_DN102585_c0_g2_i1_Symbiont",NA
"143","Up","Breviolum_Sid-radians_Avila-Medina_DN102759_c0_g1_i1_Symbiont",NA
"144","Up","Breviolum_Sid-radians_Avila-Medina_DN102824_c0_g1_i2_Symbiont",NA
"145","Up","Breviolum_Sid-radians_Avila-Medina_DN103810_c0_g1_i1_Symbiont",NA
"146","Up","Breviolum_Sid-radians_Avila-Medina_DN10454_c0_g1_i1_Symbiont",NA
"147","Up","Breviolum_Sid-radians_Avila-Medina_DN104874_c0_g1_i1_Symbiont",NA
"148","Up","Breviolum_Sid-radians_Avila-Medina_DN1051_c0_g1_i1_Symbiont",NA
"149","Up","Breviolum_Sid-radians_Avila-Medina_DN1054_c0_g1_i1_Symbiont",NA
"150","Up","Breviolum_Sid-radians_Avila-Medina_DN105980_c0_g1_i1_Symbiont",NA
"151","Up","Breviolum_Sid-radians_Avila-Medina_DN106020_c0_g1_i1_Symbiont",NA
"152","Up","Breviolum_Sid-radians_Avila-Medina_DN106047_c0_g2_i1_Symbiont",NA
"153","Up","Breviolum_Sid-radians_Avila-Medina_DN1063_c0_g1_i1_Symbiont",NA
"154","Up","Breviolum_Sid-radians_Avila-Medina_DN106460_c0_g2_i1_Symbiont",NA
"155","Up","Breviolum_Sid-radians_Avila-Medina_DN10684_c0_g2_i1_Symbiont",NA
"156","Up","Breviolum_Sid-radians_Avila-Medina_DN10699_c0_g1_i1_Symbiont",NA
"157","Up","Breviolum_Sid-radians_Avila-Medina_DN107367_c0_g1_i1_Symbiont",NA
"158","Up","Breviolum_Sid-radians_Avila-Medina_DN10763_c0_g1_i1_Symbiont",NA
"159","Up","Breviolum_Sid-radians_Avila-Medina_DN108058_c0_g2_i1_Symbiont",NA
"160","Up","Breviolum_Sid-radians_Avila-Medina_DN108531_c0_g1_i1_Symbiont",NA
"161","Up","Breviolum_Sid-radians_Avila-Medina_DN109120_c0_g1_i1_Symbiont",NA
"162","Up","Breviolum_Sid-radians_Avila-Medina_DN109427_c0_g1_i1_Symbiont",NA
"163","Up","Breviolum_Sid-radians_Avila-Medina_DN10945_c0_g1_i1_Symbiont",NA
"164","Up","Breviolum_Sid-radians_Avila-Medina_DN110439_c0_g2_i1_Symbiont",NA
"165","Up","Breviolum_Sid-radians_Avila-Medina_DN110542_c0_g1_i1_Symbiont",NA
"166","Up","Breviolum_Sid-radians_Avila-Medina_DN110830_c0_g1_i1_Symbiont",NA
"167","Up","Breviolum_Sid-radians_Avila-Medina_DN111774_c0_g1_i1_Symbiont",NA
"168","Up","Breviolum_Sid-radians_Avila-Medina_DN111891_c0_g1_i1_Symbiont",NA
"169","Up","Breviolum_Sid-radians_Avila-Medina_DN112197_c0_g1_i1_Symbiont",NA
"170","Up","Breviolum_Sid-radians_Avila-Medina_DN112213_c0_g1_i1_Symbiont",NA
"171","Up","Breviolum_Sid-radians_Avila-Medina_DN112569_c0_g1_i1_Symbiont",NA
"172","Up","Breviolum_Sid-radians_Avila-Medina_DN112592_c0_g1_i1_Symbiont",NA
"173","Up","Breviolum_Sid-radians_Avila-Medina_DN112675_c0_g1_i1_Symbiont",NA
"174","Up","Breviolum_Sid-radians_Avila-Medina_DN112720_c0_g1_i1_Symbiont",NA
"175","Up","Breviolum_Sid-radians_Avila-Medina_DN112875_c0_g1_i1_Symbiont",NA
"176","Up","Breviolum_Sid-radians_Avila-Medina_DN112927_c0_g1_i1_Symbiont",NA
"177","Up","Breviolum_Sid-radians_Avila-Medina_DN112988_c0_g1_i1_Symbiont",NA
"178","Up","Breviolum_Sid-radians_Avila-Medina_DN113230_c0_g1_i1_Symbiont",NA
"179","Up","Breviolum_Sid-radians_Avila-Medina_DN113262_c0_g1_i1_Symbiont",NA
"180","Up","Breviolum_Sid-radians_Avila-Medina_DN113634_c0_g1_i1_Symbiont",NA
"181","Up","Breviolum_Sid-radians_Avila-Medina_DN113736_c0_g1_i1_Symbiont",NA
"182","Up","Breviolum_Sid-radians_Avila-Medina_DN114343_c0_g1_i1_Symbiont",NA
"183","Up","Breviolum_Sid-radians_Avila-Medina_DN114535_c0_g2_i1_Symbiont",NA
"184","Up","Breviolum_Sid-radians_Avila-Medina_DN114724_c0_g1_i1_Symbiont",NA
"185","Up","Breviolum_Sid-radians_Avila-Medina_DN114782_c0_g1_i1_Symbiont",NA
"186","Up","Breviolum_Sid-radians_Avila-Medina_DN114843_c0_g1_i1_Symbiont",NA
"187","Up","Breviolum_Sid-radians_Avila-Medina_DN114918_c0_g1_i1_Symbiont",NA
"188","Up","Breviolum_Sid-radians_Avila-Medina_DN115492_c0_g1_i1_Symbiont",NA
"189","Up","Breviolum_Sid-radians_Avila-Medina_DN115672_c0_g1_i1_Symbiont",NA
"190","Up","Breviolum_Sid-radians_Avila-Medina_DN115698_c0_g2_i1_Symbiont",NA
"191","Up","Breviolum_Sid-radians_Avila-Medina_DN115834_c0_g1_i1_Symbiont",NA
"192","Up","Breviolum_Sid-radians_Avila-Medina_DN11605_c0_g2_i1_Symbiont",NA
"193","Up","Breviolum_Sid-radians_Avila-Medina_DN1161_c0_g1_i1_Symbiont",NA
"194","Up","Breviolum_Sid-radians_Avila-Medina_DN116461_c0_g1_i1_Symbiont",NA
"195","Up","Breviolum_Sid-radians_Avila-Medina_DN116750_c0_g1_i1_Symbiont",NA
"196","Up","Breviolum_Sid-radians_Avila-Medina_DN116779_c0_g1_i1_Symbiont",NA
"197","Up","Breviolum_Sid-radians_Avila-Medina_DN117329_c0_g1_i1_Symbiont",NA
"198","Up","Breviolum_Sid-radians_Avila-Medina_DN117331_c0_g1_i1_Symbiont",NA
"199","Up","Breviolum_Sid-radians_Avila-Medina_DN117572_c0_g1_i1_Symbiont",NA
"200","Up","Breviolum_Sid-radians_Avila-Medina_DN117581_c0_g1_i1_Symbiont",NA
"201","Up","Breviolum_Sid-radians_Avila-Medina_DN118257_c0_g2_i1_Symbiont",NA
"202","Up","Breviolum_Sid-radians_Avila-Medina_DN118433_c0_g1_i1_Symbiont",NA
"203","Up","Breviolum_Sid-radians_Avila-Medina_DN118553_c0_g1_i1_Symbiont",NA
"204","Up","Breviolum_Sid-radians_Avila-Medina_DN118705_c0_g1_i1_Symbiont",NA
"205","Up","Breviolum_Sid-radians_Avila-Medina_DN118721_c0_g1_i1_Symbiont",NA
"206","Up","Breviolum_Sid-radians_Avila-Medina_DN11915_c0_g1_i3_Symbiont",NA
"207","Up","Breviolum_Sid-radians_Avila-Medina_DN119397_c0_g2_i1_Symbiont",NA
"208","Up","Breviolum_Sid-radians_Avila-Medina_DN119653_c0_g1_i1_Symbiont",NA
"209","Up","Breviolum_Sid-radians_Avila-Medina_DN11993_c0_g1_i1_Symbiont",NA
"210","Up","Breviolum_Sid-radians_Avila-Medina_DN1199_c0_g2_i1_Symbiont",NA
"211","Up","Breviolum_Sid-radians_Avila-Medina_DN12036_c0_g2_i1_Symbiont",NA
"212","Up","Breviolum_Sid-radians_Avila-Medina_DN120468_c0_g1_i1_Symbiont",NA
"213","Up","Breviolum_Sid-radians_Avila-Medina_DN120535_c0_g1_i1_Symbiont",NA
"214","Up","Breviolum_Sid-radians_Avila-Medina_DN120565_c0_g2_i1_Symbiont",NA
"215","Up","Breviolum_Sid-radians_Avila-Medina_DN1205_c0_g1_i1_Symbiont",NA
"216","Up","Breviolum_Sid-radians_Avila-Medina_DN1208_c0_g1_i1_Symbiont",NA
"217","Up","Breviolum_Sid-radians_Avila-Medina_DN120914_c0_g1_i1_Symbiont",NA
"218","Up","Breviolum_Sid-radians_Avila-Medina_DN121022_c0_g1_i1_Symbiont",NA
"219","Up","Breviolum_Sid-radians_Avila-Medina_DN121786_c0_g2_i1_Symbiont",NA
"220","Up","Breviolum_Sid-radians_Avila-Medina_DN122051_c0_g1_i1_Symbiont",NA
"221","Up","Breviolum_Sid-radians_Avila-Medina_DN122682_c0_g1_i1_Symbiont",NA
"222","Up","Breviolum_Sid-radians_Avila-Medina_DN122758_c0_g1_i1_Symbiont",NA
"223","Up","Breviolum_Sid-radians_Avila-Medina_DN123283_c0_g1_i1_Symbiont",NA
"224","Up","Breviolum_Sid-radians_Avila-Medina_DN123747_c0_g2_i1_Symbiont",NA
"225","Up","Breviolum_Sid-radians_Avila-Medina_DN124523_c0_g1_i1_Symbiont",NA
"226","Up","Breviolum_Sid-radians_Avila-Medina_DN124915_c0_g1_i1_Symbiont",NA
