"","DEG","up.results_OC_RC_padj.1","down.results_OC_RC_padj.1"
"147","Down",NA,"Cladocopium_Davies_comp114274_c0_seq1_Symbiont"
"148","Down",NA,"Cladocopium_Davies_comp114275_c0_seq1_Symbiont"
"149","Down",NA,"Cladocopium_Davies_comp114279_c0_seq1_Symbiont"
"150","Down",NA,"Cladocopium_Davies_comp114282_c0_seq1_Symbiont"
"151","Down",NA,"Cladocopium_Davies_comp114291_c0_seq2_Symbiont"
"152","Down",NA,"Cladocopium_Davies_comp114294_c0_seq1_Symbiont"
"153","Down",NA,"Cladocopium_Davies_comp114299_c0_seq1_Symbiont"
"154","Down",NA,"Cladocopium_Davies_comp114301_c0_seq1_Symbiont"
"155","Down",NA,"Cladocopium_Davies_comp114314_c0_seq2_Symbiont"
"156","Down",NA,"Cladocopium_Davies_comp114320_c0_seq1_Symbiont"
"157","Down",NA,"Cladocopium_Davies_comp114341_c0_seq1_Symbiont"
"158","Down",NA,"Cladocopium_Davies_comp114346_c0_seq1_Symbiont"
"159","Down",NA,"Cladocopium_Davies_comp114348_c0_seq1_Symbiont"
"160","Down",NA,"Cladocopium_Davies_comp114349_c0_seq1_Symbiont"
"161","Down",NA,"Cladocopium_Davies_comp114350_c0_seq1_Symbiont"
"162","Down",NA,"Cladocopium_Davies_comp114353_c0_seq2_Symbiont"
"163","Down",NA,"Cladocopium_Davies_comp114359_c0_seq1_Symbiont"
"164","Down",NA,"Cladocopium_Davies_comp114362_c0_seq1_Symbiont"
"165","Down",NA,"Cladocopium_Davies_comp114368_c0_seq1_Symbiont"
"166","Down",NA,"Cladocopium_Davies_comp114369_c0_seq1_Symbiont"
"167","Down",NA,"Cladocopium_Davies_comp114373_c0_seq1_Symbiont"
"168","Down",NA,"Cladocopium_Davies_comp114374_c0_seq1_Symbiont"
"169","Down",NA,"Cladocopium_Davies_comp114377_c0_seq1_Symbiont"
"170","Down",NA,"Cladocopium_Davies_comp114381_c0_seq1_Symbiont"
"171","Down",NA,"Cladocopium_Davies_comp114383_c0_seq1_Symbiont"
"172","Down",NA,"Cladocopium_Davies_comp114389_c0_seq1_Symbiont"
"173","Down",NA,"Cladocopium_Davies_comp114392_c0_seq1_Symbiont"
"174","Down",NA,"Cladocopium_Davies_comp114396_c0_seq1_Symbiont"
"175","Down",NA,"Cladocopium_Davies_comp114400_c0_seq1_Symbiont"
"176","Down",NA,"Cladocopium_Davies_comp114426_c0_seq1_Symbiont"
"177","Down",NA,"Cladocopium_Davies_comp114429_c0_seq1_Symbiont"
"178","Down",NA,"Cladocopium_Davies_comp114430_c0_seq1_Symbiont"
"179","Down",NA,"Cladocopium_Davies_comp114440_c0_seq1_Symbiont"
"180","Down",NA,"Cladocopium_Davies_comp114441_c0_seq2_Symbiont"
"181","Down",NA,"Cladocopium_Davies_comp114450_c0_seq1_Symbiont"
"182","Down",NA,"Cladocopium_Davies_comp114454_c0_seq1_Symbiont"
"183","Down",NA,"Cladocopium_Davies_comp114456_c0_seq1_Symbiont"
"184","Down",NA,"Cladocopium_Davies_comp114460_c0_seq1_Symbiont"
"185","Down",NA,"Cladocopium_Davies_comp114462_c0_seq1_Symbiont"
"186","Down",NA,"Cladocopium_Davies_comp114463_c0_seq1_Symbiont"
"187","Down",NA,"Cladocopium_Davies_comp114467_c0_seq1_Symbiont"
"188","Down",NA,"Cladocopium_Davies_comp114471_c0_seq1_Symbiont"
"189","Down",NA,"Cladocopium_Davies_comp114472_c0_seq1_Symbiont"
"190","Down",NA,"Cladocopium_Davies_comp114474_c0_seq2_Symbiont"
"191","Down",NA,"Cladocopium_Davies_comp114488_c0_seq1_Symbiont"
"192","Down",NA,"Cladocopium_Davies_comp114494_c0_seq2_Symbiont"
"193","Down",NA,"Cladocopium_Davies_comp114503_c0_seq1_Symbiont"
"194","Down",NA,"Cladocopium_Davies_comp114504_c0_seq1_Symbiont"
"195","Down",NA,"Cladocopium_Davies_comp114505_c0_seq1_Symbiont"
"196","Down",NA,"Cladocopium_Davies_comp114511_c0_seq1_Symbiont"
"197","Down",NA,"Cladocopium_Davies_comp114512_c0_seq1_Symbiont"
"198","Down",NA,"Cladocopium_Davies_comp114513_c0_seq1_Symbiont"
"199","Down",NA,"Cladocopium_Davies_comp114515_c0_seq1_Symbiont"
"200","Down",NA,"Cladocopium_Davies_comp114523_c0_seq1_Symbiont"
"201","Down",NA,"Cladocopium_Davies_comp114527_c0_seq1_Symbiont"
"202","Down",NA,"Cladocopium_Davies_comp114530_c0_seq1_Symbiont"
"203","Down",NA,"Cladocopium_Davies_comp114533_c0_seq1_Symbiont"
"204","Down",NA,"Cladocopium_Davies_comp114534_c0_seq1_Symbiont"
"205","Down",NA,"Cladocopium_Davies_comp114538_c0_seq2_Symbiont"
"206","Down",NA,"Cladocopium_Davies_comp114544_c0_seq1_Symbiont"
"207","Down",NA,"Cladocopium_Davies_comp114550_c0_seq1_Symbiont"
"208","Down",NA,"Cladocopium_Davies_comp114552_c0_seq1_Symbiont"
"209","Down",NA,"Cladocopium_Davies_comp114561_c0_seq1_Symbiont"
"210","Down",NA,"Cladocopium_Davies_comp114564_c0_seq1_Symbiont"
"211","Down",NA,"Cladocopium_Davies_comp114565_c0_seq1_Symbiont"
"212","Down",NA,"Cladocopium_Davies_comp114566_c1_seq1_Symbiont"
"213","Down",NA,"Cladocopium_Davies_comp114570_c0_seq2_Symbiont"
"214","Down",NA,"Cladocopium_Davies_comp114572_c0_seq1_Symbiont"
"215","Down",NA,"Cladocopium_Davies_comp114575_c0_seq2_Symbiont"
"216","Down",NA,"Cladocopium_Davies_comp114576_c0_seq1_Symbiont"
"217","Down",NA,"Cladocopium_Davies_comp114584_c0_seq1_Symbiont"
"218","Down",NA,"Cladocopium_Davies_comp114597_c0_seq1_Symbiont"
"219","Down",NA,"Cladocopium_Davies_comp114599_c0_seq1_Symbiont"
"220","Down",NA,"Cladocopium_Davies_comp114605_c0_seq1_Symbiont"
"221","Down",NA,"Cladocopium_Davies_comp114612_c0_seq1_Symbiont"
"222","Down",NA,"Cladocopium_Davies_comp114623_c0_seq1_Symbiont"
"223","Down",NA,"Cladocopium_Davies_comp114626_c0_seq1_Symbiont"
"224","Down",NA,"Cladocopium_Davies_comp114628_c0_seq1_Symbiont"
"225","Down",NA,"Cladocopium_Davies_comp114678_c0_seq1_Symbiont"
"226","Down",NA,"Cladocopium_Davies_comp114681_c0_seq1_Symbiont"
"227","Down",NA,"Cladocopium_Davies_comp114692_c0_seq1_Symbiont"
"228","Down",NA,"Cladocopium_Davies_comp114694_c0_seq1_Symbiont"
"229","Down",NA,"Cladocopium_Davies_comp114695_c0_seq1_Symbiont"
"230","Down",NA,"Cladocopium_Davies_comp114700_c0_seq1_Symbiont"
"231","Down",NA,"Cladocopium_Davies_comp114711_c0_seq1_Symbiont"
"232","Down",NA,"Cladocopium_Davies_comp114714_c1_seq2_Symbiont"
"233","Down",NA,"Cladocopium_Davies_comp114720_c0_seq1_Symbiont"
"234","Down",NA,"Cladocopium_Davies_comp114729_c0_seq1_Symbiont"
"235","Down",NA,"Cladocopium_Davies_comp114740_c0_seq1_Symbiont"
"236","Down",NA,"Cladocopium_Davies_comp114769_c0_seq1_Symbiont"
"237","Down",NA,"Cladocopium_Davies_comp114771_c0_seq1_Symbiont"
"238","Down",NA,"Cladocopium_Davies_comp114803_c0_seq1_Symbiont"
"239","Down",NA,"Cladocopium_Davies_comp114813_c0_seq2_Symbiont"
