Filename	Total#Reads	NumContigsMatched	NumUnaligned	NumAligned	NumMultiAligned	NumSingleAligned	NumQualSingles	PropQualAligned
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_013_La_Sid_yr2_R1_nof_hybridref.sam	35672889	49483	10982263	24690626	20678272	4012354	24640960	0.691
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_014_N_Sid_yr2_R1_nof_hybridref.sam	26874052	9107	13380791	13493261	11880470	1612791	13455985	0.501
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_015_C_Sid_yr2_R1_nof_hybridref.sam	37914093	44189	8729644	29184449	25321493	3862956	29122943	0.768
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_017_N_Sid_yr2_R1_nof_hybridref.sam	30945511	31885	11218117	19727394	16865138	2862256	19679810	0.636
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_018_C_Sid_yr2_R1_nof_hybridref.sam	6356850	10817	960615	5396235	4999539	396696	5331362	0.839
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_019_La_Sid_yr2_R1_nof_hybridref.sam	46126653	40596	11048632	35078021	30182988	4895033	35016019	0.759
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_020_N_Sid_yr2_R1_nof_hybridref.sam	25334808	87062	6616548	18718260	15805128	2913132	18688665	0.738
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_021_C_Sid_yr2_R1_nof_hybridref.sam	25391474	40777	6450267	18941207	16220240	2720967	18910497	0.745
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_022_La_Sid_yr2_R1_nof_hybridref.sam	28319772	37459	7076603	21243169	18442267	2800902	21209098	0.749
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_024_C_Sid_yr2_R1_nof_hybridref.sam	30911267	16588	7746131	23165136	19619223	3545913	23125456	0.748
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_025_La_Sid_yr2_R1_nof_hybridref.sam	26623960	38419	10359790	16264170	13641043	2623127	16221082	0.609
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_026_N_Sid_yr2_R1_nof_hybridref.sam	16832321	4490	9236644	7595677	6481971	1113706	7580028	0.450
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_027_C_Sid_yr2_R1_nof_hybridref.sam	36256022	38001	8442982	27813040	24217461	3595579	27754297	0.766
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_029_N_Sid_yr2_R1_nof_hybridref.sam	40508602	22440	22195926	18312676	15397782	2914894	18232538	0.450
