"","DEG","up.results_OO_RC_padj.1","down.results_OO_RC_padj.1"
"178","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05172"
"179","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05194"
"180","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05245"
"181","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05286"
"182","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05340"
"183","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05371"
"184","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05390"
"185","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05413"
"186","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05464"
"187","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05505"
"188","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05532"
"189","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05550"
"190","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05599"
"191","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05653"
"192","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05722"
"193","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05740"
"194","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05763"
"195","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05813"
"196","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05835"
"197","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05840"
"198","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05945"
"199","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05954"
"200","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05957"
"201","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06032"
"202","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06068"
"203","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06098"
"204","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06108"
"205","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06127"
"206","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06160"
"207","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06300"
"208","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06346"
"209","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06358"
"210","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06365"
"211","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06379"
"212","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06386"
"213","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06393"
"214","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06417"
"215","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06470"
"216","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06472"
"217","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06631"
"218","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06642"
"219","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06723"
"220","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06791"
"221","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06808"
"222","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06843"
"223","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06853"
"224","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06900"
"225","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06939"
"226","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06961"
"227","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07014"
"228","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07067"
"229","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07112"
"230","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07153"
"231","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07230"
"232","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07249"
"233","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07304"
"234","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07380"
"235","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07381"
"236","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07397"
"237","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07461"
"238","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07531"
"239","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07536"
"240","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07537"
"241","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07548"
"242","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07614"
"243","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07624"
"244","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07630"
"245","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07660"
"246","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07716"
"247","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07785"
"248","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07816"
"249","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07826"
"250","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07955"
"251","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07975"
"252","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07986"
"253","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07987"
"254","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07994"
"255","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08002"
"256","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08036"
"257","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08043"
"258","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08074"
"259","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08082"
"260","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08135"
"261","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08163"
"262","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08170"
"263","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08185"
"264","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08197"
"265","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08202"
"266","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08247"
"267","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08268"
"268","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08297"
"269","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08343"
"270","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08351"
"271","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08384"
"272","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08492"
"273","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08557"
"274","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08581"
"275","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08582"
"276","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08610"
"277","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08675"
"278","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08694"
"279","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08709"
"280","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08772"
"281","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08856"
"282","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08879"
"283","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08921"
"284","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08945"
"285","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08989"
"286","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09012"
"287","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09047"
"288","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09070"
"289","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09127"
"290","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09178"
"291","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09367"
"292","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09374"
"293","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09434"
"294","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09486"
"295","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09499"
"296","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09566"
"297","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09578"
"298","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09643"
"299","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09664"
"300","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09671"
"301","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09701"
"302","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09767"
"303","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09775"
"304","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09789"
"305","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09802"
"306","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09840"
"307","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10027"
"308","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10031"
"309","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10074"
"310","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10086"
"311","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10108"
"312","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10161"
"313","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10174"
"314","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10187"
"315","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10211"
"316","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10256"
"317","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10346"
"318","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10374"
"319","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10387"
"320","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10449"
"321","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10507"
"322","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10529"
"323","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10558"
"324","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10590"
"325","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10666"
"326","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10812"
"327","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10821"
"328","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10828"
"329","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10832"
"330","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10835"
"331","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10868"
"332","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10884"
"333","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10904"
"334","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10937"
"335","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11008"
"336","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11093"
"337","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11095"
"338","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11174"
"339","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11207"
"340","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11316"
"341","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11335"
"342","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11352"
"343","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11370"
"344","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11415"
"345","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11439"
"346","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11468"
"347","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11519"
