ContigName,PC_349_C_Sid_yr2,PC_350_La_Sid_yr2,PC_361_N_Sid_yr2,PC_362_C_Sid_yr2,PC_363_La_Sid_yr2,PC_364_N_Sid_yr2,PC_365_C_Sid_yr2,PC_366_La_Sid_yr2,PC_368_C_Sid_yr2,PC_370_N_Sid_yr2,PC_371_C_Sid_yr2,PC_372_La_Sid_yr2,PC_373_N_Sid_yr2,PC_374_C_Sid_yr2,PC_375_La_Sid_yr2,PC_376_N_Sid_yr2,PO_331_C_Sid_yr2,PO_332_La_Sid_yr2,PO_333_N_Sid_yr2,PO_334_C_Sid_yr2,PO_335_La_Sid_yr2,PO_336_N_Sid_yr2,PO_337_C_Sid_yr2,PO_338_La_Sid_yr2,PO_339_N_Sid_yr2,PO_340_C_Sid_yr2,PO_341_La_Sid_yr2,PO_342_N_Sid_yr2,PO_343_C_Sid_yr2,PO_344_La_Sid_yr2,PO_345_N_Sid_yr2,PO_347_La_Sid_yr2,PO_348_N_Sid_yr2,R_003_C_Sid_yr2,R_004_La_Sid_yr2,R_005_N_Sid_yr2,R_009_C_Sid_yr2,R_010_La_Sid_yr2,R_011_N_Sid_yr2,R_012_C_Sid_yr2,R_013_La_Sid_yr2,R_014_N_Sid_yr2,R_015_C_Sid_yr2,R_017_N_Sid_yr2,R_018_C_Sid_yr2,R_019_La_Sid_yr2,R_020_N_Sid_yr2,R_021_C_Sid_yr2,R_022_La_Sid_yr2,R_024_C_Sid_yr2,R_025_La_Sid_yr2,R_026_N_Sid_yr2,R_027_C_Sid_yr2,R_029_N_Sid_yr2,R_030_C_Sid_yr2,R_031_La_Sid_yr2
Siderastrea_Mexico_Barshis-Radice_Host_contig07021,0,1,2,1,1,4,6,3,8,0,12,6,0,6,4,0,1,1,0,2,0,0,1,1,4,1,1,0,6,1,4,1,0,5,2,6,4,7,4,12,3,0,5,3,0,0,0,1,7,0,1,0,2,0,5,1
Siderastrea_Mexico_Barshis-Radice_Host_contig07022,4,1,1,1,0,4,1,1,2,1,5,4,0,1,2,0,0,0,0,0,0,0,2,0,1,2,3,1,2,3,0,0,7,3,5,4,0,3,0,6,39,0,2,8,0,5,2,0,3,0,44,0,1,11,1,5
Siderastrea_Mexico_Barshis-Radice_Host_contig07023,1,0,2,0,2,1,1,3,0,0,6,6,0,1,4,0,0,2,0,1,0,0,0,1,0,0,0,4,0,4,2,9,6,0,1,3,1,3,3,2,4,0,5,2,0,2,6,6,3,0,0,0,1,0,5,1
Siderastrea_Mexico_Barshis-Radice_Host_contig07024,0,1,0,1,0,3,7,4,1,0,0,4,1,1,1,0,0,2,0,0,2,0,1,2,0,0,7,6,0,0,2,0,0,4,3,4,1,0,0,1,5,0,0,0,0,2,3,4,2,0,34,0,3,0,6,2
Siderastrea_Mexico_Barshis-Radice_Host_contig07025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,14,0,0,0,0,1
Siderastrea_Mexico_Barshis-Radice_Host_contig07026,7,1,3,3,1,4,9,3,5,1,7,6,2,1,1,0,1,5,1,6,3,0,15,0,4,4,2,0,0,1,1,4,18,1,2,1,6,9,3,5,20,1,4,3,0,3,1,6,13,0,12,1,1,0,5,10
Siderastrea_Mexico_Barshis-Radice_Host_contig07027,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siderastrea_Mexico_Barshis-Radice_Host_contig07028,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,1,0,1,3,0,5,2,1,1,1,1,3,0,2,0,0,0,5,1,0,1,0,13,3,0,3,10,0,1,3,0,1,0,4,0,3,1,0,3
Siderastrea_Mexico_Barshis-Radice_Host_contig07029,2,0,1,2,0,3,5,0,3,0,25,16,0,6,9,0,2,5,3,3,3,0,3,1,0,5,2,7,2,1,4,0,0,0,13,18,13,29,8,37,29,0,4,23,0,10,4,13,10,22,78,0,10,17,13,13
Siderastrea_Mexico_Barshis-Radice_Host_contig07030,1,0,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,2,0,0,4,2,0,2,0,0,0,0,0,0,0,0,4,2,4,2,1,1,5,0,1,1,0,1,0,0,0,0,15,0,1,0,0,1
