"","DEG","up.results_OC_RC_padj.1","down.results_OC_RC_padj.1"
"198","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07230"
"199","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07249"
"200","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07260"
"201","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07304"
"202","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07346"
"203","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07368"
"204","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07380"
"205","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07537"
"206","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07593"
"207","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07614"
"208","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07624"
"209","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07660"
"210","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07716"
"211","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07775"
"212","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07788"
"213","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07955"
"214","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07987"
"215","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08004"
"216","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08036"
"217","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08063"
"218","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08074"
"219","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08082"
"220","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08104"
"221","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08163"
"222","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08185"
"223","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08190"
"224","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08197"
"225","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08202"
"226","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08247"
"227","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08268"
"228","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08293"
