"","DEG","up.results_OO_RO_padj.1","down.results_OO_RO_padj.1"
"117","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04083"
"118","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04134"
"119","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04138"
"120","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04159"
"121","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04192"
"122","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04263"
"123","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04267"
"124","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04290"
"125","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04300"
"126","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04312"
"127","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04406"
"128","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04426"
"129","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04428"
"130","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04470"
"131","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04502"
"132","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04507"
"133","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04563"
"134","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04569"
"135","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04660"
"136","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04742"
"137","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04763"
"138","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04769"
"139","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04887"
"140","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04924"
"141","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04960"
"142","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04984"
"143","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05049"
"144","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05052"
"145","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05053"
"146","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05066"
"147","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05074"
"148","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05092"
"149","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05131"
"150","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05164"
"151","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05172"
"152","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05182"
